book_id,title,author,genre,sub_genre,pages,reading_level,avg_rating,publish_year,description,tags
B0024,Dorothy and the Wizard in Oz,L. Frank Baum,Science Fiction,Hard SF,300,medium,3.5,1908,"A compelling science fiction book by L. Frank Baum, exploring themes of hard sf.",Hard SF
B0025,Bram Stoker's Dracula omnibus,"Bram Stoker, Mary Shelley, Robert Louis Stevenson, Danide, Núria Pradas, Carmen Gil, Bram Stoker, Juan Antonio Molina Foix, Mario Montalbán, Leonard Wolf, ClassyBookRead, BRAM STOCKER, BRAM STOKER, Anna Gasol Trullols, Destinyalready Creative Writing Ink, Bram Stroker, Fay Weldon, Bram Stoker., Bess Georges, Alba Pagán, David Stuart Davies, David Rogers, A. R. S. BEL, Ferdinand Du Chevalier, Abraham Stoker, Sarah Prescott, Alex Rouse, Bram Stoke, A. Nessi, Bram Stoker ",Science Fiction,Hard SF,300,medium,3.5,1897,"A compelling science fiction book by Bram Stoker, Mary Shelley, Robert Louis Stevenson, Danide, Núria Pradas, Carmen Gil, Bram Stoker, Juan Antonio Molina Foix, Mario Montalbán, Leonard Wolf, ClassyBookRead, BRAM STOCKER, BRAM STOKER, Anna Gasol Trullols, Destinyalready Creative Writing Ink, Bram Stroker, Fay Weldon, Bram Stoker., Bess Georges, Alba Pagán, David Stuart Davies, David Rogers, A. R. S. BEL, Ferdinand Du Chevalier, Abraham Stoker, Sarah Prescott, Alex Rouse, Bram Stoke, A. Nessi, Bram Stoker , exploring themes of hard sf.",Hard SF
B0026,The Iron Heel,Jack London,Science Fiction,Hard SF,300,medium,4.2,1907,"A compelling science fiction book by Jack London, exploring themes of hard sf.",Hard SF
B0027,Flatland,Edwin Abbott Abbott,Science Fiction,Hard SF,300,medium,4.4,1884,"A compelling science fiction book by Edwin Abbott Abbott, exploring themes of hard sf.",Hard SF
B0028,The Invisible Man,H. G. Wells,Science Fiction,Hard SF,300,medium,4.3,0,"A compelling science fiction book by H. G. Wells, exploring themes of hard sf.",Hard SF
B0029,The Complete Life and Adventures of Santa Claus,L. Frank Baum,Science Fiction,Hard SF,300,medium,4.1,1902,"A compelling science fiction book by L. Frank Baum, exploring themes of hard sf.",Hard SF
B0030,Nineteen Eighty-Four,George Orwell,Science Fiction,Hard SF,300,medium,4.5,1949,"A compelling science fiction book by George Orwell, exploring themes of hard sf.",Hard SF
B0031,She,H. Rider Haggard,Science Fiction,Hard SF,300,medium,3.8,1886,"A compelling science fiction book by H. Rider Haggard, exploring themes of hard sf.",Hard SF
B0032,The Princess and Curdie,George MacDonald,Science Fiction,Hard SF,300,medium,4.4,1832,"A compelling science fiction book by George MacDonald, exploring themes of hard sf.",Hard SF
B0033,The Hobbit,J.R.R. Tolkien,Science Fiction,Hard SF,300,medium,4.2,1937,"A compelling science fiction book by J.R.R. Tolkien, exploring themes of hard sf.",Hard SF
B0034,Phantastes,George MacDonald,Science Fiction,Hard SF,300,medium,4.4,1850,"A compelling science fiction book by George MacDonald, exploring themes of hard sf.",Hard SF
B0035,A history of New York,Washington Irving,Science Fiction,Hard SF,300,medium,3.9,1800,"A compelling science fiction book by Washington Irving, exploring themes of hard sf.",Hard SF
B0036,The War of the Worlds,H. G. Wells,Science Fiction,Hard SF,300,medium,4.4,0,"A compelling science fiction book by H. G. Wells, exploring themes of hard sf.",Hard SF
B0037,A Princess of Mars,Edgar Rice Burroughs,Science Fiction,Hard SF,300,medium,4.3,1912,"A compelling science fiction book by Edgar Rice Burroughs, exploring themes of hard sf.",Hard SF
B0038,The Napoleon of Notting Hill,Gilbert Keith Chesterton,Science Fiction,Hard SF,300,medium,4.4,1904,"A compelling science fiction book by Gilbert Keith Chesterton, exploring themes of hard sf.",Hard SF
B0039,The Last Man,Mary Shelley,Science Fiction,Hard SF,300,medium,3.5,1826,"A compelling science fiction book by Mary Shelley, exploring themes of hard sf.",Hard SF
B0040,Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,Science Fiction,Hard SF,300,medium,4.3,1872,"A compelling science fiction book by Jules Verne, exploring themes of hard sf.",Hard SF
B0041,"The Norsemen in the West, or, America before Columbus",Robert Michael Ballantyne,Science Fiction,Hard SF,300,medium,3.9,1872,"A compelling science fiction book by Robert Michael Ballantyne, exploring themes of hard sf.",Hard SF
B0042,De la démocratie en Amérique,"Alexis de Tocqueville, Gustave de Beaumont",Science Fiction,Hard SF,300,medium,4.2,1835,"A compelling science fiction book by Alexis de Tocqueville, Gustave de Beaumont, exploring themes of hard sf.",Hard SF
B0043,The warlord of Mars #3,Edgar Rice Burroughs,Science Fiction,Hard SF,300,medium,4.7,1914,"A compelling science fiction book by Edgar Rice Burroughs, exploring themes of hard sf.",Hard SF
B0044,Roughing It,Mark Twain,Science Fiction,Hard SF,300,medium,3.6,1872,"A compelling science fiction book by Mark Twain, exploring themes of hard sf.",Hard SF
B0045,Much Ado About Nothing,William Shakespeare,Science Fiction,Hard SF,300,medium,3.7,1600,"A compelling science fiction book by William Shakespeare, exploring themes of hard sf.",Hard SF
B0046,Harry Potter and the Philosopher's Stone,J. K. Rowling,Science Fiction,Hard SF,300,medium,3.8,1997,"A compelling science fiction book by J. K. Rowling, exploring themes of hard sf.",Hard SF
B0047,Братья Карамазовы,Fiódor Dostoievski,Science Fiction,Hard SF,300,medium,4.4,1880,"A compelling science fiction book by Fiódor Dostoievski, exploring themes of hard sf.",Hard SF
B0048,Vingt mille lieues sous les mers,Jules Verne,Science Fiction,Hard SF,300,medium,4.4,1870,"A compelling science fiction book by Jules Verne, exploring themes of hard sf.",Hard SF
B0049,The Golden Bough,James George Frazer,Science Fiction,Hard SF,300,medium,4.1,1890,"A compelling science fiction book by James George Frazer, exploring themes of hard sf.",Hard SF
B0050,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Science Fiction,Hard SF,300,medium,4.1,1875,"A compelling science fiction book by Robert Louis Stevenson, exploring themes of hard sf.",Hard SF
B0051,Two years before the mast,Richard Henry Dana,Science Fiction,Hard SF,300,medium,3.6,1000,"A compelling science fiction book by Richard Henry Dana, exploring themes of hard sf.",Hard SF
B0052,The description of a new world,"Margaret Cavendish, Duchess of Newcastle",Science Fiction,Hard SF,300,medium,4.1,1666,"A compelling science fiction book by Margaret Cavendish, Duchess of Newcastle, exploring themes of hard sf.",Hard SF
B0053,"News from nowhere, or, An epoch of rest, being some chapters from a utopian romance",William Morris,Science Fiction,Hard SF,300,medium,4.0,1890,"A compelling science fiction book by William Morris, exploring themes of hard sf.",Hard SF
B0054,The Poison Belt,Arthur Conan Doyle,Science Fiction,Hard SF,300,medium,3.6,1913,"A compelling science fiction book by Arthur Conan Doyle, exploring themes of hard sf.",Hard SF
B0055,Erewhon,Samuel Butler,Science Fiction,Hard SF,300,medium,4.3,1700,"A compelling science fiction book by Samuel Butler, exploring themes of hard sf.",Hard SF
B0056,Tom Sawyer Abroad,Mark Twain,Science Fiction,Hard SF,300,medium,4.6,1894,"A compelling science fiction book by Mark Twain, exploring themes of hard sf.",Hard SF
B0057,Tono-Bungay,H. G. Wells,Science Fiction,Hard SF,300,medium,4.5,1890,"A compelling science fiction book by H. G. Wells, exploring themes of hard sf.",Hard SF
B0058,Flatland,Edwin Abbott Abbott,Science Fiction,Hard SF,300,medium,4.4,1886,"A compelling science fiction book by Edwin Abbott Abbott, exploring themes of hard sf.",Hard SF
B0059,The Gods of Mars,Edgar Rice Burroughs,Science Fiction,Hard SF,300,medium,4.7,1918,"A compelling science fiction book by Edgar Rice Burroughs, exploring themes of hard sf.",Hard SF
B0060,The Chessmen of Mars,Edgar Rice Burroughs,Science Fiction,Hard SF,300,medium,4.3,1922,"A compelling science fiction book by Edgar Rice Burroughs, exploring themes of hard sf.",Hard SF
B0061,The Machine Stops,E. M. Forster,Science Fiction,Hard SF,300,medium,4.4,1909,"A compelling science fiction book by E. M. Forster, exploring themes of hard sf.",Hard SF
B0062,A Vindication of Rights of Woman,Mary Wollstonecraft,Science Fiction,Hard SF,300,medium,3.8,1792,"A compelling science fiction book by Mary Wollstonecraft, exploring themes of hard sf.",Hard SF
B0063,Anthem,"Ayn Rand, classics jifara, Spectrum Spectrum Classics",Science Fiction,Hard SF,300,medium,3.5,1936,"A compelling science fiction book by Ayn Rand, classics jifara, Spectrum Spectrum Classics, exploring themes of hard sf.",Hard SF
B0064,With her in Ourland,"Charlotte Perkins Gilman, Sajad Hussain",Science Fiction,Hard SF,300,medium,3.9,1916,"A compelling science fiction book by Charlotte Perkins Gilman, Sajad Hussain, exploring themes of hard sf.",Hard SF
B0065,A Voyage to Arcturus,"David Lindsay, David Lindsay",Science Fiction,Hard SF,300,medium,4.5,1920,"A compelling science fiction book by David Lindsay, David Lindsay, exploring themes of hard sf.",Hard SF
B0066,The Island of Dr. Moreau,H. G. Wells,Science Fiction,Hard SF,300,medium,3.8,1896,"A compelling science fiction book by H. G. Wells, exploring themes of hard sf.",Hard SF
B0067,Gullivar of Mars,Edwin Lester Linden Arnold,Science Fiction,Hard SF,300,medium,3.8,1964,"A compelling science fiction book by Edwin Lester Linden Arnold, exploring themes of hard sf.",Hard SF
B0068,The Two Towers,J.R.R. Tolkien,Science Fiction,Hard SF,300,medium,4.7,1954,"A compelling science fiction book by J.R.R. Tolkien, exploring themes of hard sf.",Hard SF
B0069,Ἱστορίαι,Ἡρόδοτος,Science Fiction,Hard SF,300,medium,3.5,1494,"A compelling science fiction book by Ἡρόδοτος, exploring themes of hard sf.",Hard SF
B0070,Rights of Man,Thomas Paine,Science Fiction,Hard SF,300,medium,4.6,1791,"A compelling science fiction book by Thomas Paine, exploring themes of hard sf.",Hard SF
B0071,After London,Richard Jefferies,Science Fiction,Hard SF,300,medium,4.3,1885,"A compelling science fiction book by Richard Jefferies, exploring themes of hard sf.",Hard SF
B0072,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,Science Fiction,Hard SF,300,medium,3.9,1999,"A compelling science fiction book by J. K. Rowling, exploring themes of hard sf.",Hard SF
B0073,Fahrenheit 451,Ray Bradbury,Science Fiction,Hard SF,300,medium,4.0,1953,"A compelling science fiction book by Ray Bradbury, exploring themes of hard sf.",Hard SF
B0074,The Coming Race,"Edward Bulwer Lytton, Baron Lytton",Science Fiction,Hard SF,300,medium,4.4,1871,"A compelling science fiction book by Edward Bulwer Lytton, Baron Lytton, exploring themes of hard sf.",Hard SF
B0075,A Doll's House,Henrik Ibsen,Science Fiction,Hard SF,300,medium,3.7,1889,"A compelling science fiction book by Henrik Ibsen, exploring themes of hard sf.",Hard SF
B0076,Ἀνάβασις,Xenophon,Science Fiction,Hard SF,300,medium,4.1,1623,"A compelling science fiction book by Xenophon, exploring themes of hard sf.",Hard SF
B0077,The wood beyond the world,William Morris,Science Fiction,Hard SF,300,medium,3.7,1894,"A compelling science fiction book by William Morris, exploring themes of hard sf.",Hard SF
B0078,The Lost Stradivarius,John Meade Falkner,Science Fiction,Hard SF,300,medium,4.7,1895,"A compelling science fiction book by John Meade Falkner, exploring themes of hard sf.",Hard SF
B0079,In Search of the Unknown,Robert W. Chambers,Science Fiction,Hard SF,300,medium,4.7,1904,"A compelling science fiction book by Robert W. Chambers, exploring themes of hard sf.",Hard SF
B0080,The Curious Case of Benjamin Button,F. Scott Fitzgerald,Science Fiction,Hard SF,300,medium,4.4,2007,"A compelling science fiction book by F. Scott Fitzgerald, exploring themes of hard sf.",Hard SF
B0081,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy,High Fantasy,300,medium,4.0,1865,"A compelling fantasy book by Lewis Carroll, exploring themes of high fantasy.",High Fantasy
B0082,A Christmas Carol,Charles Dickens,Fantasy,High Fantasy,300,medium,3.7,1843,"A compelling fantasy book by Charles Dickens, exploring themes of high fantasy.",High Fantasy
B0083,The Picture of Dorian Gray,Oscar Wilde,Fantasy,High Fantasy,300,medium,4.2,1890,"A compelling fantasy book by Oscar Wilde, exploring themes of high fantasy.",High Fantasy
B0084,Robinson Crusoe,Daniel Defoe,Fantasy,High Fantasy,300,medium,4.5,1686,"A compelling fantasy book by Daniel Defoe, exploring themes of high fantasy.",High Fantasy
B0085,The Wonderful Wizard of Oz,L. Frank Baum,Fantasy,High Fantasy,300,medium,4.7,1899,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0086,Treasure Island,Robert Louis Stevenson,Fantasy,High Fantasy,300,medium,4.6,1880,"A compelling fantasy book by Robert Louis Stevenson, exploring themes of high fantasy.",High Fantasy
B0087,Dracula,Bram Stoker,Fantasy,High Fantasy,300,medium,4.5,1897,"A compelling fantasy book by Bram Stoker, exploring themes of high fantasy.",High Fantasy
B0088,Gulliver's Travels,Jonathan Swift,Fantasy,High Fantasy,300,medium,4.5,1726,"A compelling fantasy book by Jonathan Swift, exploring themes of high fantasy.",High Fantasy
B0089,The Call of the Wild,Jack London,Fantasy,High Fantasy,300,medium,4.6,1903,"A compelling fantasy book by Jack London, exploring themes of high fantasy.",High Fantasy
B0090,The Secret Garden,Frances Hodgson Burnett,Fantasy,High Fantasy,300,medium,4.5,1911,"A compelling fantasy book by Frances Hodgson Burnett, exploring themes of high fantasy.",High Fantasy
B0091,A Midsummer Night's Dream,William Shakespeare,Fantasy,High Fantasy,300,medium,3.6,1600,"A compelling fantasy book by William Shakespeare, exploring themes of high fantasy.",High Fantasy
B0092,The Prince,Niccolò Machiavelli,Fantasy,High Fantasy,300,medium,3.7,1515,"A compelling fantasy book by Niccolò Machiavelli, exploring themes of high fantasy.",High Fantasy
B0093,Through the Looking-Glass,Lewis Carroll,Fantasy,High Fantasy,300,medium,4.4,1865,"A compelling fantasy book by Lewis Carroll, exploring themes of high fantasy.",High Fantasy
B0094,The Wind in the Willows,Kenneth Grahame,Fantasy,High Fantasy,300,medium,4.2,1908,"A compelling fantasy book by Kenneth Grahame, exploring themes of high fantasy.",High Fantasy
B0095,Anne of Green Gables,Lucy Maud Montgomery,Fantasy,High Fantasy,300,medium,4.2,1908,"A compelling fantasy book by Lucy Maud Montgomery, exploring themes of high fantasy.",High Fantasy
B0096,The Time Machine,H. G. Wells,Fantasy,High Fantasy,300,medium,4.4,1895,"A compelling fantasy book by H. G. Wells, exploring themes of high fantasy.",High Fantasy
B0097,Moby Dick,Herman Melville,Fantasy,High Fantasy,300,medium,4.1,1851,"A compelling fantasy book by Herman Melville, exploring themes of high fantasy.",High Fantasy
B0098,King Solomon's Mines,H. Rider Haggard,Fantasy,High Fantasy,300,medium,4.1,1876,"A compelling fantasy book by H. Rider Haggard, exploring themes of high fantasy.",High Fantasy
B0099,The Man Who Was Thursday,Gilbert Keith Chesterton,Fantasy,High Fantasy,300,medium,4.3,1908,"A compelling fantasy book by Gilbert Keith Chesterton, exploring themes of high fantasy.",High Fantasy
B0100,The Legend of Sleepy Hollow,Washington Irving,Fantasy,High Fantasy,300,medium,3.6,1820,"A compelling fantasy book by Washington Irving, exploring themes of high fantasy.",High Fantasy
B0101,Metamorphosis,Franz Kafka,Fantasy,High Fantasy,300,medium,4.3,1915,"A compelling fantasy book by Franz Kafka, exploring themes of high fantasy.",High Fantasy
B0102,Five Children and It,Edith Nesbit,Fantasy,High Fantasy,300,medium,4.3,1905,"A compelling fantasy book by Edith Nesbit, exploring themes of high fantasy.",High Fantasy
B0103,A Connecticut Yankee in King Arthur's Court,Mark Twain,Fantasy,High Fantasy,300,medium,4.2,1889,"A compelling fantasy book by Mark Twain, exploring themes of high fantasy.",High Fantasy
B0104,Der Proceß,Franz Kafka,Fantasy,High Fantasy,300,medium,3.6,1825,"A compelling fantasy book by Franz Kafka, exploring themes of high fantasy.",High Fantasy
B0105,The Blue Fairy Book,Andrew Lang,Fantasy,High Fantasy,300,medium,4.7,1889,"A compelling fantasy book by Andrew Lang, exploring themes of high fantasy.",High Fantasy
B0106,The Princess and the Goblin,George MacDonald,Fantasy,High Fantasy,300,medium,4.0,1872,"A compelling fantasy book by George MacDonald, exploring themes of high fantasy.",High Fantasy
B0107,The Lost World,Arthur Conan Doyle,Fantasy,High Fantasy,300,medium,4.5,1900,"A compelling fantasy book by Arthur Conan Doyle, exploring themes of high fantasy.",High Fantasy
B0108,The Marvelous Land of Oz,L. Frank Baum,Fantasy,High Fantasy,300,medium,3.8,1904,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0109,Ozma of Oz,L. Frank Baum,Fantasy,High Fantasy,300,medium,4.7,1907,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0110,Le petit prince,Antoine de Saint-Exupéry,Fantasy,High Fantasy,300,medium,4.4,1943,"A compelling fantasy book by Antoine de Saint-Exupéry, exploring themes of high fantasy.",High Fantasy
B0111,The Story of the Treasure Seekers,Edith Nesbit,Fantasy,High Fantasy,300,medium,4.5,1899,"A compelling fantasy book by Edith Nesbit, exploring themes of high fantasy.",High Fantasy
B0112,The Emerald City of Oz,L. Frank Baum,Fantasy,High Fantasy,300,medium,4.4,1910,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0113,Herland,"Charlotte Perkins Gilman, Alex Goody, Eva Kumar, Evelynn D. Smith, Chavdar Georgiev, Booking, Aurora Irvine",Fantasy,High Fantasy,300,medium,4.3,1915,"A compelling fantasy book by Charlotte Perkins Gilman, Alex Goody, Eva Kumar, Evelynn D. Smith, Chavdar Georgiev, Booking, Aurora Irvine, exploring themes of high fantasy.",High Fantasy
B0114,Dorothy and the Wizard in Oz,L. Frank Baum,Fantasy,High Fantasy,300,medium,3.5,1908,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0115,The Lost Princess of Oz,L. Frank Baum,Fantasy,High Fantasy,300,medium,4.6,1917,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0116,Flatland,Edwin Abbott Abbott,Fantasy,High Fantasy,300,medium,4.4,1884,"A compelling fantasy book by Edwin Abbott Abbott, exploring themes of high fantasy.",High Fantasy
B0117,The Castle of Otranto,Horace Walpole,Fantasy,High Fantasy,300,medium,3.5,1764,"A compelling fantasy book by Horace Walpole, exploring themes of high fantasy.",High Fantasy
B0118,The Story of the Amulet,Edith Nesbit,Fantasy,High Fantasy,300,medium,4.5,1905,"A compelling fantasy book by Edith Nesbit, exploring themes of high fantasy.",High Fantasy
B0119,Carmilla,Sheridan Le Fanu,Fantasy,High Fantasy,300,medium,4.4,1871,"A compelling fantasy book by Sheridan Le Fanu, exploring themes of high fantasy.",High Fantasy
B0120,Women in Love,D. H. Lawrence,Fantasy,High Fantasy,300,medium,4.2,1877,"A compelling fantasy book by D. H. Lawrence, exploring themes of high fantasy.",High Fantasy
B0121,The Turn of the Screw,Henry James,Fantasy,High Fantasy,300,medium,4.0,1898,"A compelling fantasy book by Henry James, exploring themes of high fantasy.",High Fantasy
B0122,The Invisible Man,H. G. Wells,Fantasy,High Fantasy,300,medium,4.3,0,"A compelling fantasy book by H. G. Wells, exploring themes of high fantasy.",High Fantasy
B0123,The Complete Life and Adventures of Santa Claus,L. Frank Baum,Fantasy,High Fantasy,300,medium,4.1,1902,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0124,Nineteen Eighty-Four,George Orwell,Fantasy,High Fantasy,300,medium,4.5,1949,"A compelling fantasy book by George Orwell, exploring themes of high fantasy.",High Fantasy
B0125,Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,Fantasy,High Fantasy,300,medium,3.5,1889,"A compelling fantasy book by Lewis Carroll, exploring themes of high fantasy.",High Fantasy
B0126,The Road to Oz,L. Frank Baum,Fantasy,High Fantasy,300,medium,4.2,1909,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0127,The Sea Fairies,L. Frank Baum,Fantasy,High Fantasy,300,medium,4.1,1911,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0128,Les Misérables,Victor Hugo,Fantasy,High Fantasy,300,medium,3.7,1862,"A compelling fantasy book by Victor Hugo, exploring themes of high fantasy.",High Fantasy
B0129,Moonfleet,John Meade Falkner,Fantasy,High Fantasy,300,medium,3.7,1898,"A compelling fantasy book by John Meade Falkner, exploring themes of high fantasy.",High Fantasy
B0130,Baum's American Fairy Tales,L. Frank Baum,Fantasy,High Fantasy,300,medium,3.7,1901,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0131,Sky Island,L. Frank Baum,Fantasy,High Fantasy,300,medium,3.9,1912,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0132,The Crimson Fairy Book,Andrew Lang,Fantasy,High Fantasy,300,medium,4.0,1903,"A compelling fantasy book by Andrew Lang, exploring themes of high fantasy.",High Fantasy
B0133,She,H. Rider Haggard,Fantasy,High Fantasy,300,medium,3.8,1886,"A compelling fantasy book by H. Rider Haggard, exploring themes of high fantasy.",High Fantasy
B0134,The Happy Prince and other tales,Oscar Wilde,Fantasy,High Fantasy,300,medium,4.3,1888,"A compelling fantasy book by Oscar Wilde, exploring themes of high fantasy.",High Fantasy
B0135,The Orange Fairy Book,Andrew Lang,Fantasy,High Fantasy,300,medium,3.8,1906,"A compelling fantasy book by Andrew Lang, exploring themes of high fantasy.",High Fantasy
B0136,The Scarecrow of Oz,L. Frank Baum,Fantasy,High Fantasy,300,medium,3.7,1915,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0137,The Patchwork Girl of Oz,L. Frank Baum,Fantasy,High Fantasy,300,medium,4.2,1913,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0138,At the Back of the North Wind,George MacDonald,Fantasy,High Fantasy,300,medium,3.5,1871,"A compelling fantasy book by George MacDonald, exploring themes of high fantasy.",High Fantasy
B0139,The Magic of Oz,L. Frank Baum,Fantasy,High Fantasy,300,medium,4.5,1919,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0140,Tik-Tok of Oz,L. Frank Baum,Fantasy,High Fantasy,300,medium,4.1,1914,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0141,Rinkitink in Oz,L. Frank Baum,Fantasy,High Fantasy,300,medium,4.5,1916,"A compelling fantasy book by L. Frank Baum, exploring themes of high fantasy.",High Fantasy
B0142,The Princess and Curdie,George MacDonald,Fantasy,High Fantasy,300,medium,4.4,1832,"A compelling fantasy book by George MacDonald, exploring themes of high fantasy.",High Fantasy
B0143,The Hobbit,J.R.R. Tolkien,Fantasy,High Fantasy,300,medium,4.2,1937,"A compelling fantasy book by J.R.R. Tolkien, exploring themes of high fantasy.",High Fantasy
B0144,The Red Fairy Book,Andrew Lang,Fantasy,High Fantasy,300,medium,4.7,1890,"A compelling fantasy book by Andrew Lang, exploring themes of high fantasy.",High Fantasy
B0145,Lilith,George MacDonald,Fantasy,High Fantasy,300,medium,3.7,1895,"A compelling fantasy book by George MacDonald, exploring themes of high fantasy.",High Fantasy
B0146,The King in Yellow,Robert W. Chambers,Fantasy,High Fantasy,300,medium,3.7,1895,"A compelling fantasy book by Robert W. Chambers, exploring themes of high fantasy.",High Fantasy
B0147,The Enchanted Castle,Edith Nesbit,Fantasy,High Fantasy,300,medium,4.2,1907,"A compelling fantasy book by Edith Nesbit, exploring themes of high fantasy.",High Fantasy
B0148,Phantastes,George MacDonald,Fantasy,High Fantasy,300,medium,4.4,1850,"A compelling fantasy book by George MacDonald, exploring themes of high fantasy.",High Fantasy
B0149,The House of Seven Gables Readalong,Nathaniel Hawthorne,Fantasy,High Fantasy,300,medium,4.0,1851,"A compelling fantasy book by Nathaniel Hawthorne, exploring themes of high fantasy.",High Fantasy
